id	card_type	domain	category	source	level	lesson	deck	front	back	front_label	back_label	front_lang	back_lang	typing_target	examples	related	opposites	details	custom_fields	tags	notes	order
ma2-lu-0001	de-vocabulary	German	verb	Menschen A2	A2			kuscheln	بغل کردن، در آغوش گرفتن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Wir haben zusammen gekuschelt.","lang":"de-DE","role":"example","label":"ma2-lu-0001-ex-001","order":1},{"text":"We cuddled together.","lang":"en-US","role":"example","label":"translation:ma2-lu-0001-ex-001","order":2}]	[]	[]	[{"title":"Formen","items":["Präsens (3. Sg.): kuschelt","Präteritum: kuschelte","Perfekt: hat gekuschelt","Hilfsverb: haben"]}]	{"entry_type":"verb","canonical_entry_type":"verb","learning_unit_id":"ma2-lu-0001","semantic_identity":"ma2-lu-0001","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0001","type":"verb","headword":"kuscheln","persian_meaning":"بغل کردن، در آغوش گرفتن","core":{"present_3sg":"kuschelt","preterite_3sg":"kuschelte","perfect":"hat gekuschelt","auxiliary":"haben","reflexive":false,"separability":"non_prefixed"},"examples":[{"id":"ma2-lu-0001-ex-001","lang":"de-DE","text":"Wir haben zusammen gekuschelt.","order":1,"translations":[{"lang":"fa-IR","text":"ما با هم بغل کردیم."},{"lang":"en-US","text":"We cuddled together."}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":1,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","morphology","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-1;source-order=1","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: kuscheln, kuschelte, hat gekuschelt / schmusen"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]}},"present":"kuschelt","preterite":"kuschelte","perfect":"hat gekuschelt","participle_ii":"","auxiliary":"haben","reflexive":false,"is_reflexive":false,"is_separable":false,"rection":"","typingCore":"kuscheln","typingStandard":"kuscheln","typingTargetLang":"de-DE","typingTargetDir":"ltr","typingTargetLabel":"Wort"}	menschen-a2; a2		1
ma2-lu-0002	de-vocabulary	German	phrase	Menschen A2	A2			sich an jdn. kuscheln	خود را به کسی چسباندن، به کسی پناه بردن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Die Katze hat sich an mich gekuschelt","lang":"de-DE","role":"example","label":"ma2-lu-0002-ex-001","order":1},{"text":"The cat cuddled up to me.","lang":"en-US","role":"example","label":"translation:ma2-lu-0002-ex-001","order":2}]	[]	[]	[]	{"entry_type":"phrase","canonical_entry_type":"phrase","learning_unit_id":"ma2-lu-0002","semantic_identity":"ma2-lu-0002","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0002","type":"phrase","headword":"sich an jdn. kuscheln","persian_meaning":"خود را به کسی چسباندن، به کسی پناه بردن","core":{"structure":"sich an jdn. kuscheln"},"examples":[{"id":"ma2-lu-0002-ex-001","lang":"de-DE","text":"Die Katze hat sich an mich gekuschelt","order":1,"translations":[{"lang":"fa-IR","text":"گربه خودش را به من چسباند."},{"lang":"en-US","text":"The cat cuddled up to me."}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":2,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-2;source-order=2","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: sichAkk. an jdn. kuscheln / sich anschmiegen"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]}}}	menschen-a2; a2		2
ma2-lu-0003	de-vocabulary	German	verb	Menschen A2	A2			klettern	بالا رفتن، صخره‌نوردی کردن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Auf einen Baum, über den Zaun klettern","lang":"de-DE","role":"example","label":"ma2-lu-0003-ex-001","order":1},{"text":"to climb a tree, to climb over the fence","lang":"en-US","role":"example","label":"translation:ma2-lu-0003-ex-001","order":2}]	[]	[]	[{"title":"Formen","items":["Präsens (3. Sg.): klettert","Präteritum: kletterte","Perfekt: ist geklettert","Hilfsverb: sein"]}]	{"entry_type":"verb","canonical_entry_type":"verb","learning_unit_id":"ma2-lu-0003","semantic_identity":"ma2-lu-0003","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0003","type":"verb","headword":"klettern","persian_meaning":"بالا رفتن، صخره‌نوردی کردن","core":{"present_3sg":"klettert","preterite_3sg":"kletterte","perfect":"ist geklettert","auxiliary":"sein","reflexive":false,"separability":"non_prefixed"},"examples":[{"id":"ma2-lu-0003-ex-001","lang":"de-DE","text":"Auf einen Baum, über den Zaun klettern","order":1,"translations":[{"lang":"fa-IR","text":"از یک درخت بالا رفتن، از روی حصار بالا رفتن"},{"lang":"en-US","text":"to climb a tree, to climb over the fence"}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":3,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","morphology","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-3;source-order=3","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: klettern, klettert, kletterte, ist geklettert / steigen"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]}},"present":"klettert","preterite":"kletterte","perfect":"ist geklettert","participle_ii":"","auxiliary":"sein","reflexive":false,"is_reflexive":false,"is_separable":false,"rection":"","typingCore":"klettern","typingStandard":"klettern","typingTargetLang":"de-DE","typingTargetDir":"ltr","typingTargetLabel":"Wort"}	menschen-a2; a2		3
ma2-lu-0004	de-vocabulary	German	verb	Menschen A2	A2			übergeben	تحویل دادن، واگذار کردن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Er übergab seinen gesamten Grundbesitz an seinen Sohn.","lang":"de-DE","role":"example","label":"ma2-lu-0004-ex-001","order":1},{"text":"He transferred all of his property to his son.","lang":"en-US","role":"example","label":"translation:ma2-lu-0004-ex-001","order":2}]	[]	[]	[{"title":"Formen","items":["Präsens (3. Sg.): übergibt","Präteritum: übergab","Perfekt: hat übergeben","Hilfsverb: haben"]},{"title":"Grammar Notes","items":["Akkusativobjekt (Quellennotation)"]}]	{"entry_type":"verb","canonical_entry_type":"verb","learning_unit_id":"ma2-lu-0004","semantic_identity":"ma2-lu-0004","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0004","type":"verb","headword":"übergeben","persian_meaning":"تحویل دادن، واگذار کردن","core":{"present_3sg":"übergibt","preterite_3sg":"übergab","perfect":"hat übergeben","auxiliary":"haben","reflexive":false,"separability":"inseparable"},"examples":[{"id":"ma2-lu-0004-ex-001","lang":"de-DE","text":"Er übergab seinen gesamten Grundbesitz an seinen Sohn.","order":1,"translations":[{"lang":"fa-IR","text":"او تمام املاک خود را به پسرش واگذار کرد."},{"lang":"en-US","text":"He transferred all of his property to his son."}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":4,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","morphology","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-4;source-order=4","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: übergeben [+A], übergibt, übergab, hat übergeben / aushändigen"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]},"details":{"grammar_notes":["Akkusativobjekt (Quellennotation)"]}},"present":"übergibt","preterite":"übergab","perfect":"hat übergeben","participle_ii":"","auxiliary":"haben","reflexive":false,"is_reflexive":false,"is_separable":false,"rection":"","typingCore":"übergeben","typingStandard":"übergeben","typingTargetLang":"de-DE","typingTargetDir":"ltr","typingTargetLabel":"Wort"}	menschen-a2; a2		4
ma2-lu-0005	de-vocabulary	German	phrase	Menschen A2	A2			etwas an jemanden übergeben	چیزی را به کسی تحویل دادن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Sie übergab das Telefongespräch an den zuständigen Kollegen","lang":"de-DE","role":"example","label":"ma2-lu-0005-ex-001","order":1},{"text":"She transferred the phone call to the responsible colleague.","lang":"en-US","role":"example","label":"translation:ma2-lu-0005-ex-001","order":2}]	[]	[]	[]	{"entry_type":"phrase","canonical_entry_type":"phrase","learning_unit_id":"ma2-lu-0005","semantic_identity":"ma2-lu-0005","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0005","type":"phrase","headword":"etwas an jemanden übergeben","persian_meaning":"چیزی را به کسی تحویل دادن","core":{"structure":"etwas an jemanden übergeben"},"examples":[{"id":"ma2-lu-0005-ex-001","lang":"de-DE","text":"Sie übergab das Telefongespräch an den zuständigen Kollegen","order":1,"translations":[{"lang":"fa-IR","text":"او تماس تلفنی را به همکار مسئول منتقل کرد."},{"lang":"en-US","text":"She transferred the phone call to the responsible colleague."}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":5,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-5;source-order=5","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: etwas an jemanden übergeben"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]}}}	menschen-a2; a2		5
ma2-lu-0006	de-vocabulary	German	verb	Menschen A2	A2			übernachten	شب را جایی ماندن، شب را اقامت کردن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Wo wollen wir übernachten? in einem Hotel","lang":"de-DE","role":"example","label":"ma2-lu-0006-ex-001","order":1},{"text":"Where do we want to stay overnight? In a hotel.","lang":"en-US","role":"example","label":"translation:ma2-lu-0006-ex-001","order":2}]	[]	[]	[{"title":"Formen","items":["Präsens (3. Sg.): übernachtet","Präteritum: übernachtete","Perfekt: hat übernachtet","Hilfsverb: haben"]}]	{"entry_type":"verb","canonical_entry_type":"verb","learning_unit_id":"ma2-lu-0006","semantic_identity":"ma2-lu-0006","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0006","type":"verb","headword":"übernachten","persian_meaning":"شب را جایی ماندن، شب را اقامت کردن","core":{"present_3sg":"übernachtet","preterite_3sg":"übernachtete","perfect":"hat übernachtet","auxiliary":"haben","reflexive":false,"separability":"inseparable"},"examples":[{"id":"ma2-lu-0006-ex-001","lang":"de-DE","text":"Wo wollen wir übernachten? in einem Hotel","order":1,"translations":[{"lang":"fa-IR","text":"کجا می‌خواهیم شب بمانیم؟ در یک هتل."},{"lang":"en-US","text":"Where do we want to stay overnight? In a hotel."}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":6,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","morphology","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-6;source-order=6","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: übernachten, übernachtet, übernachtete, hat übernachtet / nächtigen"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]}},"present":"übernachtet","preterite":"übernachtete","perfect":"hat übernachtet","participle_ii":"","auxiliary":"haben","reflexive":false,"is_reflexive":false,"is_separable":false,"rection":"","typingCore":"übernachten","typingStandard":"übernachten","typingTargetLang":"de-DE","typingTargetDir":"ltr","typingTargetLabel":"Wort"}	menschen-a2; a2		6
ma2-lu-0007	de-vocabulary	German	verb	Menschen A2	A2			bestehen	وجود داشتن؛ از چیزی تشکیل شدن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Das Werk besteht aus drei Teilen.","lang":"de-DE","role":"example","label":"ma2-lu-0007-ex-001","order":1},{"text":"The work consists of three parts.","lang":"en-US","role":"example","label":"translation:ma2-lu-0007-ex-001","order":2}]	[]	[]	[{"title":"Formen","items":["Präsens (3. Sg.): besteht","Präteritum: bestand","Perfekt: hat bestanden","Hilfsverb: haben"]}]	{"entry_type":"verb","canonical_entry_type":"verb","learning_unit_id":"ma2-lu-0007","semantic_identity":"ma2-lu-0007","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0007","type":"verb","headword":"bestehen","persian_meaning":"وجود داشتن؛ از چیزی تشکیل شدن","core":{"present_3sg":"besteht","preterite_3sg":"bestand","perfect":"hat bestanden","auxiliary":"haben","reflexive":false,"separability":"inseparable"},"examples":[{"id":"ma2-lu-0007-ex-001","lang":"de-DE","text":"Das Werk besteht aus drei Teilen.","order":1,"translations":[{"lang":"fa-IR","text":"این مجموعه از سه بخش تشکیل شده است."},{"lang":"en-US","text":"The work consists of three parts."}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":7,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","morphology","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-7;source-order=7","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: bestehen, besteht, bestand, hat bestanden / existieren"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]}},"present":"besteht","preterite":"bestand","perfect":"hat bestanden","participle_ii":"","auxiliary":"haben","reflexive":false,"is_reflexive":false,"is_separable":false,"rection":"","typingCore":"bestehen","typingStandard":"bestehen","typingTargetLang":"de-DE","typingTargetDir":"ltr","typingTargetLabel":"Wort"}	menschen-a2; a2		7
ma2-lu-0008	de-vocabulary	German	phrase	Menschen A2	A2			auf etw. (Dat.) bestehen	بر چیزی اصرار کردن، پافشاری کردن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Ich bestehe auf meiner Meinung","lang":"de-DE","role":"example","label":"ma2-lu-0008-ex-001","order":1},{"text":"I insist on my opinion.","lang":"en-US","role":"example","label":"translation:ma2-lu-0008-ex-001","order":2}]	[]	[]	[]	{"entry_type":"phrase","canonical_entry_type":"phrase","learning_unit_id":"ma2-lu-0008","semantic_identity":"ma2-lu-0008","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0008","type":"phrase","headword":"auf etw. (Dat.) bestehen","persian_meaning":"بر چیزی اصرار کردن، پافشاری کردن","core":{"structure":"auf etw. (Dat.) bestehen"},"examples":[{"id":"ma2-lu-0008-ex-001","lang":"de-DE","text":"Ich bestehe auf meiner Meinung","order":1,"translations":[{"lang":"fa-IR","text":"من بر نظر خودم اصرار دارم."},{"lang":"en-US","text":"I insist on my opinion."}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":8,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-8;source-order=8","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: auf etw. [+D] bestehen / beharren auf"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]}}}	menschen-a2; a2		8
ma2-lu-0009	de-vocabulary	German	phrase	Menschen A2	A2			bestehen aus (Dat.)	از چیزی تشکیل شدن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Das Werk besteht aus drei Teilen","lang":"de-DE","role":"example","label":"ma2-lu-0009-ex-001","order":1},{"text":"The work consists of three parts.","lang":"en-US","role":"example","label":"translation:ma2-lu-0009-ex-001","order":2}]	[]	[]	[]	{"entry_type":"phrase","canonical_entry_type":"phrase","learning_unit_id":"ma2-lu-0009","semantic_identity":"ma2-lu-0009","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0009","type":"phrase","headword":"bestehen aus (Dat.)","persian_meaning":"از چیزی تشکیل شدن","core":{"structure":"bestehen aus (Dat.)"},"examples":[{"id":"ma2-lu-0009-ex-001","lang":"de-DE","text":"Das Werk besteht aus drei Teilen","order":1,"translations":[{"lang":"fa-IR","text":"این مجموعه از سه بخش تشکیل شده است."},{"lang":"en-US","text":"The work consists of three parts."}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":9,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-9;source-order=9","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: bestehen aus [+D] / zusammengesetzt sein aus"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]}}}	menschen-a2; a2		9
ma2-lu-0010	de-vocabulary	German	verb	Menschen A2	A2			verkaufen	فروختن، به فروش رساندن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Endlich habe ich mein altes Auto verkauft.","lang":"de-DE","role":"example","label":"ma2-lu-0010-ex-001","order":1},{"text":"I finally sold my old car.","lang":"en-US","role":"example","label":"translation:ma2-lu-0010-ex-001","order":2}]	[]	[]	[{"title":"Formen","items":["Präsens (3. Sg.): verkauft","Präteritum: verkaufte","Perfekt: hat verkauft","Hilfsverb: haben"]},{"title":"Grammar Notes","items":["Akkusativobjekt; optionales Dativobjekt (Quellennotation)"]}]	{"entry_type":"verb","canonical_entry_type":"verb","learning_unit_id":"ma2-lu-0010","semantic_identity":"ma2-lu-0010","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"menschen-a2@2.1.0","german_definition":"","english":"","direction_policy":"language-pair","canonical_unit":{"id":"ma2-lu-0010","type":"verb","headword":"verkaufen","persian_meaning":"فروختن، به فروش رساندن","core":{"present_3sg":"verkauft","preterite_3sg":"verkaufte","perfect":"hat verkauft","auxiliary":"haben","reflexive":false,"separability":"inseparable"},"examples":[{"id":"ma2-lu-0010-ex-001","lang":"de-DE","text":"Endlich habe ich mein altes Auto verkauft.","order":1,"translations":[{"lang":"fa-IR","text":"بالاخره ماشین قدیمی‌ام را فروختم."},{"lang":"en-US","text":"I finally sold my old car."}]}],"metadata":{"dataset_id":"menschen-a2","unit_order":10,"tags":["menschen-a2","a2"]},"provenance":{"sources":[{"source_id":"menschen_a2_user_screenshots","source_kind":"course","what_was_verified":["orthography","persian_gloss","morphology","example_attestation"],"verification_status":"verified","locator":"screenshot-1:row-10;source-order=10","accessed_at":"2026-09-02","evidence_note":"Authoritative user-supplied source row. Raw German bundle: verkaufen [(+D)+A], verkauft, verkaufte, hat verkauft / veräußern"},{"source_id":"assistant_translation_review","source_kind":"other","what_was_verified":["persian_example_translation","english_example_translation"],"verification_status":"verified","accessed_at":"2026-09-02","evidence_note":"Production translation generated and sense-alignment reviewed against the German example and canonical Persian meaning; this is internal production evidence, not an external lexicon claim."}]},"details":{"grammar_notes":["Akkusativobjekt; optionales Dativobjekt (Quellennotation)"]}},"present":"verkauft","preterite":"verkaufte","perfect":"hat verkauft","participle_ii":"","auxiliary":"haben","reflexive":false,"is_reflexive":false,"is_separable":false,"rection":"","typingCore":"verkaufen","typingStandard":"verkaufen","typingTargetLang":"de-DE","typingTargetDir":"ltr","typingTargetLabel":"Wort"}	menschen-a2; a2		10
