id	card_type	domain	category	source	level	lesson	deck	front	back	front_label	back_label	front_lang	back_lang	typing_target	examples	related	opposites	details	custom_fields	tags	notes	order
ARCH-0001	de-vocabulary	German	verb	Multi-Type Architecture Proof	A2			abhängen	بستگی داشتن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Das hängt vom Wetter ab.","lang":"de-DE","role":"example","label":"ARCH-0001-ex-001","order":1},{"text":"Der Preis hängt von der Größe ab.","lang":"de-DE","role":"example","label":"ARCH-0001-ex-002","order":2},{"text":"Ob wir fahren, hängt von der Zeit ab.","lang":"de-DE","role":"example","label":"ARCH-0001-ex-003","order":3},{"text":"It depends on the weather.","lang":"en-US","role":"example","label":"translation:ARCH-0001-ex-001","order":4},{"text":"The price depends on the size.","lang":"en-US","role":"example","label":"translation:ARCH-0001-ex-002","order":5},{"text":"Whether we go depends on how much time we have.","lang":"en-US","role":"example","label":"translation:ARCH-0001-ex-003","order":6}]	[]	[]	[{"title":"Formen","items":["Präsens (3. Sg.): hängt ab","Präteritum: hing ab","Perfekt: hat abgehangen","Partizip II: abgehangen","Hilfsverb: haben"]},{"title":"Rektion","items":["von + Dativ"]},{"title":"Grammar Notes","items":["unregelmäßiges, trennbares Verb"]},{"title":"Präpositionale Muster","items":["von etwas abhängen"]}]	{"entry_type":"verb","canonical_entry_type":"verb","learning_unit_id":"ARCH-0001","semantic_identity":"ARCH-0001","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"von einer Person, Sache oder Bedingung bestimmt sein","english":"depend","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0001","type":"verb","headword":"abhängen","persian_meaning":"بستگی داشتن","english_gloss":"depend","definition_de":"von einer Person, Sache oder Bedingung bestimmt sein","core":{"present_3sg":"hängt ab","preterite_3sg":"hing ab","perfect":"hat abgehangen","participle_ii":"abgehangen","auxiliary":"haben","reflexive":false,"separability":"separable","modal":false},"details":{"rection":["von + Dativ"],"grammar_notes":["unregelmäßiges, trennbares Verb"]},"connections":[{"text":"von etwas abhängen","kind":"prepositional_pattern"}],"examples":[{"id":"ARCH-0001-ex-001","lang":"de-DE","text":"Das hängt vom Wetter ab.","order":1,"translations":[{"lang":"fa-IR","text":"این به آب‌وهوا بستگی دارد."},{"lang":"en-US","text":"It depends on the weather."}]},{"id":"ARCH-0001-ex-002","lang":"de-DE","text":"Der Preis hängt von der Größe ab.","order":2,"translations":[{"lang":"fa-IR","text":"قیمت به اندازه بستگی دارد."},{"lang":"en-US","text":"The price depends on the size."}]},{"id":"ARCH-0001-ex-003","lang":"de-DE","text":"Ob wir fahren, hängt von der Zeit ab.","order":3,"translations":[{"lang":"fa-IR","text":"این‌که برویم یا نه، به زمانی که داریم بستگی دارد."},{"lang":"en-US","text":"Whether we go depends on how much time we have."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":1,"tags":["verb","separable"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0001"}]}},"present":"hängt ab","preterite":"hing ab","perfect":"hat abgehangen","participle_ii":"abgehangen","auxiliary":"haben","reflexive":false,"is_reflexive":false,"is_separable":true,"rection":"von + Dativ","typingCore":"abhängen","typingStandard":"abhängen","typingTargetLang":"de-DE","typingTargetDir":"ltr","typingTargetLabel":"Wort"}	verb; separable		1
ARCH-0002	de-vocabulary	German	verb	Multi-Type Architecture Proof	A2			sich anmelden	ثبت‌نام کردن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Ich melde mich für den Deutschkurs an.","lang":"de-DE","role":"example","label":"ARCH-0002-ex-001","order":1},{"text":"Hast du dich schon online angemeldet?","lang":"de-DE","role":"example","label":"ARCH-0002-ex-002","order":2},{"text":"Sie hat sich bei der Rezeption angemeldet.","lang":"de-DE","role":"example","label":"ARCH-0002-ex-003","order":3},{"text":"I am signing up for the German course.","lang":"en-US","role":"example","label":"translation:ARCH-0002-ex-001","order":4},{"text":"Have you already registered online?","lang":"en-US","role":"example","label":"translation:ARCH-0002-ex-002","order":5},{"text":"She registered at the reception desk.","lang":"en-US","role":"example","label":"translation:ARCH-0002-ex-003","order":6}]	[]	[]	[{"title":"Formen","items":["Präsens (3. Sg.): meldet sich an","Präteritum: meldete sich an","Perfekt: hat sich angemeldet","Partizip II: angemeldet","Hilfsverb: haben"]},{"title":"Rektion","items":["sich für + Akkusativ anmelden","sich bei + Dativ anmelden"]},{"title":"Präpositionale Muster","items":["sich für einen Kurs anmelden"]},{"title":"Typische Verbindungen","items":["sich online anmelden"]}]	{"entry_type":"verb","canonical_entry_type":"verb","learning_unit_id":"ARCH-0002","semantic_identity":"ARCH-0002","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"den eigenen Namen angeben, um an etwas teilzunehmen oder einen Dienst zu nutzen","english":"register; sign up","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0002","type":"verb","headword":"sich anmelden","persian_meaning":"ثبت‌نام کردن","english_gloss":"register; sign up","definition_de":"den eigenen Namen angeben, um an etwas teilzunehmen oder einen Dienst zu nutzen","core":{"present_3sg":"meldet sich an","preterite_3sg":"meldete sich an","perfect":"hat sich angemeldet","participle_ii":"angemeldet","imperative":{"du":"Melde dich an!","ihr":"Meldet euch an!","sie":"Melden Sie sich an!"},"auxiliary":"haben","reflexive":true,"separability":"separable","modal":false},"details":{"rection":["sich für + Akkusativ anmelden","sich bei + Dativ anmelden"]},"connections":[{"text":"sich für einen Kurs anmelden","kind":"prepositional_pattern"},{"text":"sich online anmelden","kind":"common_combination"}],"examples":[{"id":"ARCH-0002-ex-001","lang":"de-DE","text":"Ich melde mich für den Deutschkurs an.","order":1,"translations":[{"lang":"fa-IR","text":"من برای دورهٔ آلمانی ثبت‌نام می‌کنم."},{"lang":"en-US","text":"I am signing up for the German course."}]},{"id":"ARCH-0002-ex-002","lang":"de-DE","text":"Hast du dich schon online angemeldet?","order":2,"translations":[{"lang":"fa-IR","text":"آیا قبلاً آنلاین ثبت‌نام کرده‌ای؟"},{"lang":"en-US","text":"Have you already registered online?"}]},{"id":"ARCH-0002-ex-003","lang":"de-DE","text":"Sie hat sich bei der Rezeption angemeldet.","order":3,"translations":[{"lang":"fa-IR","text":"او در بخش پذیرش ثبت‌نام کرد."},{"lang":"en-US","text":"She registered at the reception desk."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":2,"tags":["verb","reflexive","separable"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0002"}]}},"present":"meldet sich an","preterite":"meldete sich an","perfect":"hat sich angemeldet","participle_ii":"angemeldet","auxiliary":"haben","reflexive":true,"is_reflexive":true,"is_separable":true,"rection":"sich für + Akkusativ anmelden; sich bei + Dativ anmelden","typingCore":"sich anmelden","typingStandard":"sich anmelden","typingTargetLang":"de-DE","typingTargetDir":"ltr","typingTargetLabel":"Wort"}	verb; reflexive; separable		2
ARCH-0003	de-vocabulary	German	nomen	Multi-Type Architecture Proof	A2			Entscheidung	تصمیم	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Wir müssen heute eine Entscheidung treffen.","lang":"de-DE","role":"example","label":"ARCH-0003-ex-001","order":1},{"text":"Diese Entscheidung war nicht leicht.","lang":"de-DE","role":"example","label":"ARCH-0003-ex-002","order":2},{"text":"We have to make a decision today.","lang":"en-US","role":"example","label":"translation:ARCH-0003-ex-001","order":3},{"text":"This decision was not easy.","lang":"en-US","role":"example","label":"translation:ARCH-0003-ex-002","order":4}]	[]	[]	[{"title":"Formen","items":["Artikel: die","Singular: Entscheidung","Plural: Entscheidungen"]},{"title":"Word Family","items":["entscheiden","entscheidend"]},{"title":"NVV","items":["eine Entscheidung treffen"]},{"title":"Kollokationen","items":["eine wichtige Entscheidung"]},{"title":"Muster","items":["sich für etwas entscheiden"]}]	{"entry_type":"noun","canonical_entry_type":"nomen","learning_unit_id":"ARCH-0003","semantic_identity":"ARCH-0003","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"das Ergebnis davon, dass man zwischen mehreren Möglichkeiten gewählt hat","english":"decision","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0003","type":"nomen","headword":"Entscheidung","persian_meaning":"تصمیم","english_gloss":"decision","definition_de":"das Ergebnis davon, dass man zwischen mehreren Möglichkeiten gewählt hat","core":{"singular":"Entscheidung","article":"die","gender":"feminine","plural":"Entscheidungen","genitive_singular":"Entscheidung","plural_only":false},"details":{"word_family":["entscheiden","entscheidend"]},"connections":[{"text":"eine Entscheidung treffen","kind":"nvv"},{"text":"eine wichtige Entscheidung","kind":"collocation"},{"text":"sich für etwas entscheiden","kind":"pattern"}],"examples":[{"id":"ARCH-0003-ex-001","lang":"de-DE","text":"Wir müssen heute eine Entscheidung treffen.","order":1,"translations":[{"lang":"fa-IR","text":"ما باید امروز تصمیمی بگیریم."},{"lang":"en-US","text":"We have to make a decision today."}]},{"id":"ARCH-0003-ex-002","lang":"de-DE","text":"Diese Entscheidung war nicht leicht.","order":2,"translations":[{"lang":"fa-IR","text":"این تصمیم آسان نبود."},{"lang":"en-US","text":"This decision was not easy."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":3,"tags":["nomen"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0003"}]}}}	nomen		3
ARCH-0004	de-vocabulary	German	nomen	Multi-Type Architecture Proof	A2			Schloss	قصر؛ قفل	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Wir besuchen morgen das alte Schloss.","lang":"de-DE","role":"example","label":"ARCH-0004-ex-001","order":1},{"text":"Der Schlüssel steckt im Schloss.","lang":"de-DE","role":"example","label":"ARCH-0004-ex-002","order":2},{"text":"We are visiting the old castle tomorrow.","lang":"en-US","role":"example","label":"translation:ARCH-0004-ex-001","order":3},{"text":"The key is in the lock.","lang":"en-US","role":"example","label":"translation:ARCH-0004-ex-002","order":4}]	[]	[]	[{"title":"Formen","items":["Artikel: das","Singular: Schloss","Plural: Schlösser"]},{"title":"Grammar Notes","items":["Beide Bedeutungen haben den Plural Schlösser."]}]	{"entry_type":"noun","canonical_entry_type":"nomen","learning_unit_id":"ARCH-0004","semantic_identity":"ARCH-0004","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"ein großes herrschaftliches Gebäude oder eine Vorrichtung zum Verschließen","english":"castle; lock","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0004","type":"nomen","headword":"Schloss","persian_meaning":"قصر؛ قفل","english_gloss":"castle; lock","definition_de":"ein großes herrschaftliches Gebäude oder eine Vorrichtung zum Verschließen","senses":[{"id":"sense-01","meaning_fa":"قصر","gloss_en":"castle","definition_de":"ein großes herrschaftliches Gebäude"},{"id":"sense-02","meaning_fa":"قفل","gloss_en":"lock","definition_de":"eine Vorrichtung zum Verschließen"}],"core":{"singular":"Schloss","article":"das","gender":"neuter","plural":"Schlösser","genitive_singular":"Schlosses","plural_only":false},"details":{"grammar_notes":["Beide Bedeutungen haben den Plural Schlösser."]},"connections":[],"examples":[{"id":"ARCH-0004-ex-001","lang":"de-DE","text":"Wir besuchen morgen das alte Schloss.","order":1,"sense_id":"sense-01","translations":[{"lang":"fa-IR","text":"ما فردا از قصر قدیمی دیدن می‌کنیم."},{"lang":"en-US","text":"We are visiting the old castle tomorrow."}]},{"id":"ARCH-0004-ex-002","lang":"de-DE","text":"Der Schlüssel steckt im Schloss.","order":2,"sense_id":"sense-02","translations":[{"lang":"fa-IR","text":"کلید داخل قفل است."},{"lang":"en-US","text":"The key is in the lock."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":4,"tags":["nomen","multi-sense"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0004"}]}}}	nomen; multi-sense		4
ARCH-0005	de-vocabulary	German	adjektiv	Multi-Type Architecture Proof	A2			zuverlässig	قابل اعتماد	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Unsere neue Kollegin ist sehr zuverlässig.","lang":"de-DE","role":"example","label":"ARCH-0005-ex-001","order":1},{"text":"Dieser Zug fährt meistens zuverlässig.","lang":"de-DE","role":"example","label":"ARCH-0005-ex-002","order":2},{"text":"Our new colleague is very reliable.","lang":"en-US","role":"example","label":"translation:ARCH-0005-ex-001","order":3},{"text":"This train usually runs reliably.","lang":"en-US","role":"example","label":"translation:ARCH-0005-ex-002","order":4}]	["verlässlich"]	["unzuverlässig"]	[{"title":"Formen","items":["Komparativ: zuverlässiger","Superlativ: am zuverlässigsten"]},{"title":"Typische Verbindungen","items":["ein zuverlässiger Mitarbeiter"]},{"title":"Kollokationen","items":["zuverlässig funktionieren"]}]	{"entry_type":"adjective","canonical_entry_type":"adjektiv","learning_unit_id":"ARCH-0005","semantic_identity":"ARCH-0005","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"so, dass man sich auf jemanden oder etwas verlassen kann","english":"reliable","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0005","type":"adjektiv","headword":"zuverlässig","persian_meaning":"قابل اعتماد","english_gloss":"reliable","definition_de":"so, dass man sich auf jemanden oder etwas verlassen kann","core":{"gradable":true,"comparative":"zuverlässiger","superlative":"am zuverlässigsten","predicative_only":false,"attributive_only":false},"details":{"synonyms":["verlässlich"],"antonyms":["unzuverlässig"]},"connections":[{"text":"ein zuverlässiger Mitarbeiter","kind":"common_combination"},{"text":"zuverlässig funktionieren","kind":"collocation"}],"examples":[{"id":"ARCH-0005-ex-001","lang":"de-DE","text":"Unsere neue Kollegin ist sehr zuverlässig.","order":1,"translations":[{"lang":"fa-IR","text":"همکار جدید ما بسیار قابل اعتماد است."},{"lang":"en-US","text":"Our new colleague is very reliable."}]},{"id":"ARCH-0005-ex-002","lang":"de-DE","text":"Dieser Zug fährt meistens zuverlässig.","order":2,"translations":[{"lang":"fa-IR","text":"این قطار معمولاً منظم و قابل اعتماد حرکت می‌کند."},{"lang":"en-US","text":"This train usually runs reliably."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":5,"tags":["adjektiv"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0005"}]}}}	adjektiv		5
ARCH-0006	de-vocabulary	German	praeposition	Multi-Type Architecture Proof	A2			trotz	با وجودِ؛ علی‌رغمِ	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Trotz des Regens gehen wir spazieren.","lang":"de-DE","role":"example","label":"ARCH-0006-ex-001","order":1},{"text":"Sie kam trotz ihrer Erkältung zur Arbeit.","lang":"de-DE","role":"example","label":"ARCH-0006-ex-002","order":2},{"text":"Despite the rain, we are going for a walk.","lang":"en-US","role":"example","label":"translation:ARCH-0006-ex-001","order":3},{"text":"She came to work despite her cold.","lang":"en-US","role":"example","label":"translation:ARCH-0006-ex-002","order":4}]	[]	[]	[{"title":"Register Notes","items":["In der Umgangssprache kommt auch der Dativ vor."]},{"title":"Präpositionale Muster","items":["trotz + Genitiv"]}]	{"entry_type":"preposition","canonical_entry_type":"praeposition","learning_unit_id":"ARCH-0006","semantic_identity":"ARCH-0006","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"drückt aus, dass etwas geschieht, obwohl ein Hindernis besteht","english":"despite; in spite of","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0006","type":"praeposition","headword":"trotz","persian_meaning":"با وجودِ؛ علی‌رغمِ","english_gloss":"despite; in spite of","definition_de":"drückt aus, dass etwas geschieht, obwohl ein Hindernis besteht","core":{"governs_cases":["Genitiv"],"position":"preposed"},"details":{"register_notes":["In der Umgangssprache kommt auch der Dativ vor."]},"connections":[{"text":"trotz + Genitiv","kind":"prepositional_pattern"}],"examples":[{"id":"ARCH-0006-ex-001","lang":"de-DE","text":"Trotz des Regens gehen wir spazieren.","order":1,"translations":[{"lang":"fa-IR","text":"با وجود باران، برای پیاده‌روی می‌رویم."},{"lang":"en-US","text":"Despite the rain, we are going for a walk."}]},{"id":"ARCH-0006-ex-002","lang":"de-DE","text":"Sie kam trotz ihrer Erkältung zur Arbeit.","order":2,"translations":[{"lang":"fa-IR","text":"او با وجود سرماخوردگی‌اش به سر کار آمد."},{"lang":"en-US","text":"She came to work despite her cold."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":6,"tags":["praeposition"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0006"}]}}}	praeposition		6
ARCH-0007	de-vocabulary	German	konnektor	Multi-Type Architecture Proof	A2			obwohl	اگرچه؛ با اینکه	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Obwohl es regnet, gehen wir spazieren.","lang":"de-DE","role":"example","label":"ARCH-0007-ex-001","order":1},{"text":"Er ist müde, obwohl er lange geschlafen hat.","lang":"de-DE","role":"example","label":"ARCH-0007-ex-002","order":2},{"text":"Although it is raining, we are going for a walk.","lang":"en-US","role":"example","label":"translation:ARCH-0007-ex-001","order":3},{"text":"He is tired even though he slept for a long time.","lang":"en-US","role":"example","label":"translation:ARCH-0007-ex-002","order":4}]	[]	[]	[{"title":"Punctuation Notes","items":["Der obwohl-Satz wird durch ein Komma vom Hauptsatz getrennt."]},{"title":"Muster","items":["Hauptsatz, obwohl + Nebensatz"]}]	{"entry_type":"conjunction","canonical_entry_type":"konnektor","learning_unit_id":"ARCH-0007","semantic_identity":"ARCH-0007","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"leitet einen Nebensatz ein, der einen Gegensatz oder eine Einschränkung ausdrückt","english":"although; even though","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0007","type":"konnektor","headword":"obwohl","persian_meaning":"اگرچه؛ با اینکه","english_gloss":"although; even though","definition_de":"leitet einen Nebensatz ein, der einen Gegensatz oder eine Einschränkung ausdrückt","core":{"function":"Konzession oder Gegensatz ausdrücken","syntactic_class":"subordinating","verb_position":"verb_final"},"details":{"punctuation_notes":["Der obwohl-Satz wird durch ein Komma vom Hauptsatz getrennt."]},"connections":[{"text":"Hauptsatz, obwohl + Nebensatz","kind":"pattern"}],"examples":[{"id":"ARCH-0007-ex-001","lang":"de-DE","text":"Obwohl es regnet, gehen wir spazieren.","order":1,"translations":[{"lang":"fa-IR","text":"با اینکه باران می‌بارد، برای پیاده‌روی می‌رویم."},{"lang":"en-US","text":"Although it is raining, we are going for a walk."}]},{"id":"ARCH-0007-ex-002","lang":"de-DE","text":"Er ist müde, obwohl er lange geschlafen hat.","order":2,"translations":[{"lang":"fa-IR","text":"او خسته است، با اینکه مدت زیادی خوابیده است."},{"lang":"en-US","text":"He is tired even though he slept for a long time."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":7,"tags":["konnektor"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0007"}]}}}	konnektor		7
ARCH-0008	de-vocabulary	German	redemittel	Multi-Type Architecture Proof	A2			Das kommt darauf an.	بستگی دارد.	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Das kommt darauf an, wie viel Zeit wir haben.","lang":"de-DE","role":"example","label":"ARCH-0008-ex-001","order":1},{"text":"Kommst du mit? Das kommt darauf an.","lang":"de-DE","role":"example","label":"ARCH-0008-ex-002","order":2},{"text":"It depends on how much time we have.","lang":"en-US","role":"example","label":"translation:ARCH-0008-ex-001","order":3},{"text":"Are you coming along? It depends.","lang":"en-US","role":"example","label":"translation:ARCH-0008-ex-002","order":4}]	[]	[]	[{"title":"Register","items":["neutral"]},{"title":"Variants","items":["Es kommt darauf an, ..."]},{"title":"Feste Wendungen","items":["Es kommt darauf an, ob ..."]}]	{"entry_type":"phrase","canonical_entry_type":"redemittel","learning_unit_id":"ARCH-0008","semantic_identity":"ARCH-0008","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"drückt aus, dass die Antwort von einer Bedingung abhängt","english":"It depends.","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0008","type":"redemittel","headword":"Das kommt darauf an.","persian_meaning":"بستگی دارد.","english_gloss":"It depends.","definition_de":"drückt aus, dass die Antwort von einer Bedingung abhängt","core":{"function":"Abhängigkeit ausdrücken","structure":"Es/Das kommt auf + Akkusativ an; darauf ankommen, ob/wie ..."},"details":{"register":"neutral","variants":["Es kommt darauf an, ..."]},"connections":[{"text":"Es kommt darauf an, ob ...","kind":"fixed_expression"}],"examples":[{"id":"ARCH-0008-ex-001","lang":"de-DE","text":"Das kommt darauf an, wie viel Zeit wir haben.","order":1,"translations":[{"lang":"fa-IR","text":"بستگی دارد که چقدر وقت داشته باشیم."},{"lang":"en-US","text":"It depends on how much time we have."}]},{"id":"ARCH-0008-ex-002","lang":"de-DE","text":"Kommst du mit? Das kommt darauf an.","order":2,"translations":[{"lang":"fa-IR","text":"همراه می‌آیی؟ بستگی دارد."},{"lang":"en-US","text":"Are you coming along? It depends."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":8,"tags":["redemittel"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0008"}]}}}	redemittel		8
ARCH-0009	de-vocabulary	German	nomen_verb_verbindung	Multi-Type Architecture Proof	A2			eine Entscheidung treffen	تصمیم گرفتن	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Die Chefin trifft morgen eine Entscheidung.","lang":"de-DE","role":"example","label":"ARCH-0009-ex-001","order":1},{"text":"Wir haben gemeinsam eine Entscheidung getroffen.","lang":"de-DE","role":"example","label":"ARCH-0009-ex-002","order":2},{"text":"The manager will make a decision tomorrow.","lang":"en-US","role":"example","label":"translation:ARCH-0009-ex-001","order":3},{"text":"We made a decision together.","lang":"en-US","role":"example","label":"translation:ARCH-0009-ex-002","order":4}]	[]	[]	[{"title":"Register","items":["neutral"]},{"title":"Grammar Notes","items":["treffen wird konjugiert; Entscheidung steht im Akkusativ"]},{"title":"Kollokationen","items":["eine wichtige Entscheidung treffen"]},{"title":"Typische Verbindungen","items":["eine endgültige Entscheidung treffen"]}]	{"entry_type":"nvv","canonical_entry_type":"nomen_verb_verbindung","learning_unit_id":"ARCH-0009","semantic_identity":"ARCH-0009","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"nach dem Abwägen verschiedener Möglichkeiten entscheiden","english":"make a decision","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0009","type":"nomen_verb_verbindung","headword":"eine Entscheidung treffen","persian_meaning":"تصمیم گرفتن","english_gloss":"make a decision","definition_de":"nach dem Abwägen verschiedener Möglichkeiten entscheiden","core":{"function":"eine Entscheidung ausdrücken","structure":"eine Entscheidung + treffen"},"details":{"register":"neutral","grammar_notes":["treffen wird konjugiert; Entscheidung steht im Akkusativ"]},"connections":[{"text":"eine wichtige Entscheidung treffen","kind":"collocation"},{"text":"eine endgültige Entscheidung treffen","kind":"common_combination"}],"examples":[{"id":"ARCH-0009-ex-001","lang":"de-DE","text":"Die Chefin trifft morgen eine Entscheidung.","order":1,"translations":[{"lang":"fa-IR","text":"مدیر فردا تصمیم می‌گیرد."},{"lang":"en-US","text":"The manager will make a decision tomorrow."}]},{"id":"ARCH-0009-ex-002","lang":"de-DE","text":"Wir haben gemeinsam eine Entscheidung getroffen.","order":2,"translations":[{"lang":"fa-IR","text":"ما با هم تصمیم گرفتیم."},{"lang":"en-US","text":"We made a decision together."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":9,"tags":["nvv","primary-learning-unit"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0009"}]}}}	nvv; primary-learning-unit		9
ARCH-0010	de-vocabulary	German	satzmuster	Multi-Type Architecture Proof	A2			Je ..., desto ...	هرچه ...، ...تر	Deutsch	فارسی	de-DE	fa-IR	front-core	[{"text":"Je früher wir starten, desto schneller sind wir da.","lang":"de-DE","role":"example","label":"ARCH-0010-ex-001","order":1},{"text":"Je mehr du übst, desto leichter wird es.","lang":"de-DE","role":"example","label":"ARCH-0010-ex-002","order":2},{"text":"The earlier we start, the sooner we will arrive.","lang":"en-US","role":"example","label":"translation:ARCH-0010-ex-001","order":3},{"text":"The more you practice, the easier it becomes.","lang":"en-US","role":"example","label":"translation:ARCH-0010-ex-002","order":4}]	[]	[]	[{"title":"Grammar Notes","items":["Im je-Satz steht das finite Verb am Ende."]},{"title":"Variants","items":["umso statt desto"]},{"title":"Register","items":["neutral"]},{"title":"Muster","items":["je + Komparativ, desto + Komparativ"]}]	{"entry_type":"sentence_pattern","canonical_entry_type":"satzmuster","learning_unit_id":"ARCH-0010","semantic_identity":"ARCH-0010","german_learning_contract":"gfp-german-learning-content@1.0.0","semantic_contract":"gfp-german-language-content@3.1.3","source_profile_id":"architecture-proof@2.1.0","german_definition":"verbindet zwei Veränderungen, die voneinander abhängen","english":"the ..., the ...","direction_policy":"language-pair","canonical_unit":{"id":"ARCH-0010","type":"satzmuster","headword":"Je ..., desto ...","persian_meaning":"هرچه ...، ...تر","english_gloss":"the ..., the ...","definition_de":"verbindet zwei Veränderungen, die voneinander abhängen","core":{"function":"eine proportionale Beziehung ausdrücken","structure":"Je + Komparativ + Nebensatz, desto + Komparativ + Hauptsatz"},"details":{"grammar_notes":["Im je-Satz steht das finite Verb am Ende."],"variants":["umso statt desto"],"register":"neutral"},"connections":[{"text":"je + Komparativ, desto + Komparativ","kind":"pattern"}],"examples":[{"id":"ARCH-0010-ex-001","lang":"de-DE","text":"Je früher wir starten, desto schneller sind wir da.","order":1,"translations":[{"lang":"fa-IR","text":"هرچه زودتر راه بیفتیم، سریع‌تر می‌رسیم."},{"lang":"en-US","text":"The earlier we start, the sooner we will arrive."}]},{"id":"ARCH-0010-ex-002","lang":"de-DE","text":"Je mehr du übst, desto leichter wird es.","order":2,"translations":[{"lang":"fa-IR","text":"هرچه بیشتر تمرین کنی، آسان‌تر می‌شود."},{"lang":"en-US","text":"The more you practice, the easier it becomes."}]}],"metadata":{"dataset_id":"architecture-proof","unit_order":10,"tags":["satzmuster"]},"provenance":{"risk_flags":[],"sources":[{"source_id":"architecture_fixture","source_kind":"generated","what_was_verified":["architecture_fixture"],"verification_status":"unverified","locator":"ARCH-0010"}]}}}	satzmuster		10
